row ID,Molecule,Molecule name,Mannhold LogP,Atomic Polarizabilities,Aromatic Atoms Count,Aromatic Bonds Count,Element Count,Bond Polarizabilities,Bond Count,Eccentric Connectivity Index,Fragment Complexity,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Largest Chain,Largest Pi Chain,Petitjean Number,Rotatable Bonds Count,Lipinski's Rule of Five,Topological Polar Surface Area,Vertex adjacency information magnitude,Molecular Weight,XLogP,Zagreb Index,Molecular Formula,Formal Charge,Formal Charge (pos),Formal Charge (neg),Heavy Atoms Count,Molar Mass,SP3 Character,Rotatable Bonds Count (non terminal)
Row9993,O=C1OCc2c1c(OCC(O)CNC(C)(C)C)ccc2,C15H21NO4,2.56,44.710653,6,6,41,28.407347,21,346,1384.05,267.995142894412,4,2,7,10,0.5,10,0,67.79,5.39231742277876,279.147058152001,1.803,102,C15H21NO4,0,0,0,20,279.332117199475,0.195121951219512,6
Row9994,O=C(Nc1c(OCC(O)CNC(C)(C)C)cccc1)c2occc2,C18H24N2O4,2.78,53.091032,11,11,48,32.346968,25,505,1849.06,314.706939578579,4,3,7,15,0.461538461538462,12,0,83.73,5.64385618977472,332.173607248001,1.85,118,C18H24N2O4,0,0,0,24,332.394850358353,0.145833333333333,8
Row9995,O(c1ccc(CCOC)cc1)CC(O)C(N)(C)C,C14H23NO3,2.56,43.482239,6,6,41,28.315761,18,324,1375.04,256.901848969584,3,2,5,7,0.5,12,0,64.71,5.16992500144231,253.167793596,1.232,84,C14H23NO3,0,0,0,18,253.337857882769,0.195121951219512,7
Row9996,O(c1c(cccc1)CC=C)C/C(=N/O)/CNC(C)C,C15H22N2O2,2.67,44.873446,6,6,41,26.626554,19,322,1339.04,271.131449701456,1,2,7,7,0.454545454545455,11,0,53.85,5.24792751344359,262.168127944,3.078,84,C15H22N2O2,0,0,0,19,262.347951305198,0.146341463414634,8
Row9997,O(C(c1c(cccc1C)C)c2c(cccc2C)C)CC(O)CNC(C)C,C23H33NO2,3.66,65.188169,12,12,59,38.651831,27,480,2950.03,372.609649098625,3,2,8,6,0.454545454545455,15,0,41.49,5.75488750216347,355.251129296001,4.878,128,C23H33NO2,0,0,0,26,355.51448356455,0.186440677966102,8
Row9998,O(c1c(c(ccc1)C)C)CC(O)CNC(C)(C)C,C15H25NO2,2.78,45.773825,6,6,43,29.906175,18,288,1543.03,265.407606894889,2,2,7,7,0.5,12,0,41.49,5.16992500144231,251.18852904,2.842,86,C15H25NO2,0,0,0,18,251.36507035964,0.209302325581395,6
Row9999,O1[C@H]([C@@H](Oc2c(OCC)cccc2)c3ccccc3)CNCC1,C19H23NO3,3.11,52.282239,12,12,46,31.551761,25,393,1798.04,299.859478594918,2,1,3,8,0.5,7,0,39.72,5.64385618977472,313.167793596001,3.071,114,C19H23NO3,0,0,0,23,313.391537366709,0.152173913043478,6
Row10000,P(=O)(OP(=O)(O)O)(OC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)\C)\C)\C)\C)\C)\C)\C)O,C55H92O7P2,6.52,171.018956000001,0,0,156,121.283044,63,4613,19993.09,1032.02066113459,7,3,49,9,0.5,50,3,132.91,6.97727992349992,926.631828544003,16.464,284,C55H92O7P2,0,0,0,64,927.264381428298,0.211538461538462,35
Row10001,O=C1N(C(=O)C(c2ccccc2)(CC)C(N1COC)=O)COC,C16H20N2O5,2.45,47.70586,6,6,43,32.53014,24,328,1430.07,299.805197027407,7,0,3,8,0.444444444444444,9,0,76.15,5.58496250072116,320.137221740001,1.495,116,C16H20N2O5,0,0,0,23,320.341020477043,0.162790697674419,6
Row10002,N12c3c(cccc3CNCC1)[C@H]4CCC[C@H]4C2,C15H20N2,2.89,41.93586,6,6,37,24.50414,20,209,1328.02,221.754537599534,2,1,0,7,0.428571428571429,0,0,15.27,5.32192809488736,228.16264864,2.887,98,C15H20N2,0,0,0,17,228.333259942408,0.243243243243243,0
Row10003,Cl.O=c1oc2c(N3CCN(C)CC3)cccc2[nH]1,C12H16N3O2Cl,2.12,38.872688,9,10,34,25.405312,19,-654705702,919.06,231.931323802456,2,1,0,11,0.999000000999,2,0,52.48,5.24792751344359,269.093104432,1.475,92,C12H16ClN3O2,0,0,0,18,269.727739877099,0.147058823529412,1
Row10004,S(c1c(cccc1)C2CCNCC2)c3ccc(C)cc3,C18H21NS,3.22,49.682653,12,12,41,25.897347,22,367,1469.02,274.701837924968,1,1,0,6,0.454545454545455,4,0,37.33,5.4594316186373,283.139470672001,4.7,102,C18H21NS,0,0,0,20,283.4327901726,0.146341463414634,3
Row10005,Clc1c(N)c2OCCOc2c(c1)-c3oc(=O)n(n3)C4CCN(CCc5ccccc5)CC4,C23H25N4O4Cl,3,66.937825,17,17,57,37.756175,36,951,2729.09,396.04915739068,3,1,2,15,0.470588235294118,7,0,95.75,6.16992500144231,456.156432960001,3.632,174,C23H25ClN4O4,0,0,0,32,456.922814588374,0.157894736842105,5
Row10006,S(=O)(=O)(c1cnc2c(N3CCNCC3)cccc2c1)c4ccccc4,C19H19N3O2S,2.89,53.913067,16,17,44,31.206933,28,544,1609.06,303.04242026589,5,1,3,20,0.461538461538462,3,0,70.68,5.8073549220576,353.119797848001,2.832,136,C19H19N3O2S,0,0,0,25,353.439860830947,0.0909090909090909,3
Row10007,Clc1cc(OC)c(OC)c(c1)C(Nc2c(S(=O)(=O)C)ccc(c2)N3CCNCC3)C,C21H28N3O4ClS,2.78,67.218204,12,12,58,44.637796,32,637,2730.09,398.95528679158,5,2,3,11,0.461538461538462,12,0,88.28,6,453.148905056001,3.699,156,C21H28ClN3O4S,0,0,0,30,453.984546842278,0.155172413793103,7
Row10008,O=C1OC2C(OC(=O)c3cc(O)c(O)c(c3)O)C(OC(=O)c4cc(O)c(O)c(c4)O)C(OC(=O)c5cc(O)c(O)c(c5)O)OC2COC(c6c(-c7c1cc(O)c(c7O)O)c(O)c(O)c(O)c6)=O,C41H30O26,3.11,113.01579,30,30,97,49.08221,73,1972,6187.26,752.513337654322,11,15,3,24,0.470588235294118,24,4,444.18,7.18982455888002,938.102531080001,6.722,368,C41H30O26,0,0,0,67,938.662922499886,0.0618556701030928,9
Row10009,O=c1n(c(=O)c2n(CCN(C)C)cnc2n1C)C,C11H17N5O2,1.9,37.799481,9,10,35,29.740519,19,254,990.07,225.217791822489,2,0,4,11,0.444444444444444,7,0,65.06,5.24792751344359,251.138224784,1.405,94,C11H17N5O2,0,0,0,18,251.285413570025,0.171428571428571,3
Row10010,N(C(C#C)(C)C)(C(C)(C)C)C,C10H19N,2.45,31.369067,0,0,30,22.750933,10,77,731.01,187.240147766033,1,0,6,2,0.4,8,0,3.24,4.32192809488736,153.151749608,2.267,52,C10H19N,0,0,0,11,153.264936497606,0.266666666666667,2
Row10011,O=c1n(c(N)cc(n1CC)=O)CC=C,C9H13N3O2,1.9,29.412309,6,6,27,19.427691,14,148,547.05,191.888760855222,1,1,3,9,0.428571428571429,5,0,70.02,4.8073549220576,195.100776656,1.844,66,C9H13N3O2,0,0,0,14,195.218772347074,0.111111111111111,3
Row10012,O=c1n(-c2ccccc2)cc(C)cc1,C12H11NO,2.56,30.356723,12,12,25,14.963277,15,164,494.02,184.463591513528,0,0,0,13,0.428571428571429,2,0,22,4.90689059560852,185.084063972,3.075,70,C12H11NO,0,0,0,14,185.222287188145,0.04,1
Row10013,O=C(NCCN1CCN(c2ncccn2)CC1)C34CC5CC(C3)CC(C4)C5,C21H31N5O,3.11,63.932583,6,6,58,42.107417,31,748,3142.06,352.318035278197,6,1,5,7,0.466666666666667,5,0,61.36,5.95419631038688,369.252860612001,2.887,152,C21H31N5O,0,0,0,27,369.504538163897,0.275862068965517,5
Row10014,O=C(NCCCCN1CCN(c2c(OC)cccc2)CC1)C34CC5CC(C3)CC(C4)C5,C26H39N3O2,3.77,76.6689269999999,6,6,70,50.129073,35,972,4546.05,425.594664691759,4,1,7,8,0.470588235294118,9,1,44.81,6.12928301694497,425.304227488001,5.083,170,C26H39N3O2,0,0,0,31,425.607742191941,0.271428571428571,8
Row10015,S(=O)(C(c1ccc(F)cc1)c2ccc(F)cc2)CC(=O)NO,C15H13NO3F2S,2.34,42.588309,12,12,35,21.293691,23,345,834.07,271.039681849663,2,2,6,6,0.5,8,0,85.61,5.52356195605701,325.058420716,1.008,108,C15H13F2NO3S,0,0,0,22,325.332077674338,0.0571428571428571,5
Row10016,Clc1c(N)cc(OC(C(=O)C)C)c(c1)C(=O)NCCN(CC)CC,C17H26N3O3Cl,2.56,55.142618,6,6,50,34.655382,24,444,1948.07,340.721473632352,5,2,8,11,0.5,15,0,84.66,5.58496250072116,355.166269372001,2.019,112,C17H26ClN3O3,0,0,0,24,355.860231826867,0.18,9
Row10017,N(CCC(c1ccccc1)C2CCCCC2)(C)C,C17H27N,3.22,49.023411,6,6,45,31.496589,19,237,1810.01,270.062664044701,1,0,5,6,0.5,7,1,3.24,5.24792751344359,245.214349864,5.237,86,C17H27N,0,0,0,18,245.403613805728,0.244444444444444,5
Row10018,Fc1c(cc(O)c(c1)O)C(O)CN,C8H10NO3F,1.79,24.81093,6,6,23,11.47507,13,133,373.05,159.19350006469,2,4,4,8,0.428571428571429,7,0,86.71,4.70043971814109,187.0644714,0.048,62,C8H10FNO3,0,0,0,13,187.168615922306,0.0869565217391304,2
Row10019,S(=O)(=O)(O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],C6H3N3O9S,0.69,25.978379,6,6,22,13.523621,19,205,142.13,203.86850053755,3,1,3,19,0.428571428571429,8,0,192.17,5.24792751344359,292.958999676,0.291999999999999,96,C6H3N3O9S,0,3,-3,19,293.169076604476,0,4
Row10020,Oc1c(O)ccc(c1)C(O)C(N)CC,C10H15NO3,2.12,31.107895,6,6,29,15.738105,14,166,659.04,187.717910466117,2,4,5,8,0.5,8,0,86.71,4.8073549220576,197.10519334,0.705,66,C10H15NO3,0,0,0,14,197.231388265011,0.137931034482759,3
